ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,LOCATION
11 Stockton Ln,Stony Brook,NY,11790,Stony Brook
4 Intervale Rd,Setauket,NY,11733,Setauket
23 Hawkins Rd,Stony Brook,NY,11790,Stony Brook
133 Quaker Path,Setauket,NY,11733,Setauket
503 Elton Ct,St. James,NY,11780,Fairfield
211 Elton Ct W,St. James,NY,11780,Fairfield
602 Drew Dr,St. James,NY,11780,Fairfield
95 University Heights Dr,Stony Brook,NY,11790,University Heights
601 Alden Ct E,St. James,NY,11780,Fairfield At St. James
8 Gaslight Way,Stony Brook,NY,11790,Stony Brook
14 College Dr,Stony Brook,NY,11790,Stony Brook
1155 N Country Rd,Stony Brook,NY,11790,Stony Brook
272 Hallock Rd,Stony Brook,NY,11790,Stony Brook
19 Old Wood Rd,Stony Brook,NY,11790,Forty Acres Beach Associ
1 Toga Drive Dr,Stony Brook,NY,11790,Stony Brook
7 Hunters Ct,Setauket,NY,11733,Setauket
10 Seward Ln,Stony Brook,NY,11790,Stony Brook
25 Blinker Light Rd,Stony Brook,NY,11790,Stony Brook
15 Haskell Ln,Stony Brook,NY,11790,Stony Brook
8 Sandstone Ln,Stony Brook,NY,11790,S Section
30 Pembrook Dr,Stony Brook,NY,11790,"""P"" Section"
8 Dogwood Dr,Stony Brook,NY,11790,Stony Brook
3 Baron Ct,Stony Brook,NY,11790,Island Estates
64 Hollow Rd,Stony Brook,NY,11790,Stony Brook
14 Sandstone Ln,Stony Brook,NY,11790,Stony Brook
2 Parish Ct,Stony Brook,NY,11790,Stratmore
2 Brook Dr,Stony Brook,NY,11790,Stony Brook
52 Arbor Field Way,Lake Grove,NY,11755,Lake Grove
44 Strathmore Gate Dr,Stony Brook,NY,11790,Strathmore Gate
23A Cedar Dr,Stony Brook,NY,11790,Stony Brook
32 Seville Ln,Stony Brook,NY,11790,Strathmore
15 Hollow Rd,Stony Brook,NY,11790,Stony Brook
10 Lotowana Ln,Stony Brook,NY,11790,Stony Brook
12 Hillside Rd,Stony Brook,NY,11790,Stony Brook
2 Madeley Ln,Stony Brook,NY,11790,Stony Brook
5 Fox Meadow Ln,St. James,NY,11780,Fox Meadow Farms
3 Conscience Bow,E. Setauket,NY,11733,E. Setauket
11 Von Hagen Ave,St. James,NY,11780,St. James
77 Sycamore Cir,Stony Brook,NY,11790,Strathmore
24 Sheppard Ln,Stony Brook,NY,11790,Stony Brook
208 Drew Dr,St. James,NY,11780,Fairfield @ St James
Moriches Rd,Head Of Harbor,NY,11780,Head Of Harbor
7 Ivy League Ln,Stony Brook,NY,11790,Stony Brook
4 Ingrid Rd,Setauket,NY,11733,Setauket
1409 Stony Brook Rd,Stony Brook,NY,11790,Stony Brook
1411 Stony Brook Rd,Stony Brook,NY,11790,Stony Brook
16 Hawks Nest Rd,Stony Brook,NY,11790,Stony Brook
3 Fraternity Ln,Stony Brook,NY,11790,Stony Brook
1277 N Country,Stony Brook,NY,11790,Stony Brook
21 Elderwood Dr,St. James,NY,11780,Mills Pond Estates
14 Parson Dr,Stony Brook,NY,11790,Levitt
199-1 Moriches Rd,St. James,NY,11780,The Woods At St. James
19A Cedar Dr,Stony Brook,NY,11790,Stony Brook
11 College Dr,Stony Brook,NY,11790,Stony Brook
100 University Heigh Dr,Stony Brook,NY,11790,Stony Brook
58 Quaker Path,Stony Brook,NY,11790,Stony Brook
1 University Heights Dr,Stony Brook,NY,11790,Stony Brook
1449 Stony Brook Rd,Stony Brook,NY,11790,Stony Brook
11 Midwood Rd,Stony Brook,NY,11790,Stony Brook
33 Hillside Rd,Stony Brook,NY,11790,Stony Brook
,Stony Brook,NY,11790,
47 Main St,Stony Brook,NY,11790,Stony Brook
1257 N Country Rd,Stony Brook,NY,11790,Stony Brook
Lot 2 N Country Rd,Stony Brook,NY,11790,Stony Brook
18 University Hts D,Stony Brook,NY,11790,Stony Brook
18 Emmet Dr,Stony Brook,NY,11790,Stony Brook
2 Stuyvesant Ave,E. Setauket,NY,11733,E. Setauket
6 Bayberry Ln,Stony Brook,NY,11790,Stony Brook